姓名,關卡,行為歷程
Name1,1,<0> 10 -1 <1> 7 19(2) 19(3) 19(4) -2
Name1,2,<0> 8 -1 <1> 4 16(2) 4 -1 <2> 17(2) -1 <3> 4 -1 <4> 5 29(1) 5 5 5 5 5 5 5 17(3) 17(4) 17(1) 17(1) 5 5 29(0) 17(1) 17(1) 17(1) -1 <5> 4 -1 <6> 10 -1 <7> 8 -1 <8> 3 3 3 3 27(1) 3 3 15(2) 3 15(3) 3 15(4) 3 -1 <9> 5 29(1) 17(2) 17(3) 5 17(4) 17(1) 5 29(0) 17(1) 5 5 17(1) 5 -2
Name1,3,<0> 10 -1 <1> 1 -1 <2> 7 7 -1 <3> 1 1 1 1 1 25(1) 1 1 1 13(2) 1 1 25(0) 13(3) 1 -2
Name1,4,<0> 5 5 5 5 -1 <1> 7 19(2) 19(3) 19(4) 7 7 7 7 7 7 -1 <2> 4 4 28(1) 4 4 4 28(0) 4 28(1) 4 16(2) 4 4 -1 <3> 6 18(2) 6 -1 <4> 8 -2
Name1,5,<0> 3 -1 <1> 17(2) 5 5 17(3) 5 5 5 29(1) 17(4) 17(1) 5 17(1) 5 -2
Name1,6,<0> 9 9 33(0) 9 33(0) 9 9 9 -1 <1> 3 -1 <2> 5 29(1) 5 5 17(4) 17(1) 5 17(1) 17(1) 17(1) 5 -1 <3> 12 -1 <4> 7 -1 <5> 10 10 -1 <6> 2 14(2) 2 -1 <7> 8 8 -1 <8> 10 -1 <9> 1 25(1) 1 13(2) 1 13(3) 1 13(4) 1 1 1 1 1 13(1) 1 1 1 1 1 13(1) 1 13(1) 1 1 13(1) 1 13(1) 13(1) 13(1) 13(1) 1 -1 <10> 3 -1 <11> 12 36(1) 12 -1 <12> 3 -1 <13> 10 -1 <14> 1 -1 <15> 3 -1 <16> 7 -1 <17> 4 -1 <18> 12 -1 <19> 4 4 4 16(2) -1 <20> 11 23(2) 11 23(3) 23(4) 35(1) 11 11 23(1) 23(1) 11 11 -2
